period,total_value,differenced
2019-01-01,465701,
2019-01-02,488901,23200.0
2019-01-03,484062,-4839.0
2019-01-04,477305,-6757.0
2019-01-05,451001,-26304.0
2019-01-06,431380,-19621.0
2019-01-07,473814,42434.0
2019-01-08,488715,14901.0
2019-01-09,490462,1747.0
2019-01-10,470146,-20316.0
2019-01-11,481587,11441.0
2019-01-12,417211,-64376.0
2019-01-13,437955,20744.0
2019-01-14,495428,57473.0
2019-01-15,503286,7858.0
2019-01-16,494536,-8750.0
2019-01-17,481566,-12970.0
2019-01-18,454553,-27013.0
2019-01-19,406819,-47734.0
2019-01-20,407390,571.0
2019-01-21,483640,76250.0
2019-01-22,483964,324.0
2019-01-23,490352,6388.0
2019-01-24,496774,6422.0
2019-01-25,472077,-24697.0
2019-01-26,431673,-40404.0
2019-01-27,407148,-24525.0
2019-01-28,468045,60897.0
2019-01-29,475778,7733.0
2019-01-30,480045,4267.0
2019-01-31,483722,3677.0
2019-02-01,490096,6374.0
2019-02-02,470893,-19203.0
2019-02-03,465715,-5178.0
2019-02-04,552830,87115.0
2019-02-05,611213,58383.0
2019-02-06,621268,10055.0
2019-02-07,575418,-45850.0
2019-02-08,541542,-33876.0
2019-02-09,479383,-62159.0
2019-02-10,497657,18274.0
2019-02-11,533983,36326.0
2019-02-12,535561,1578.0
2019-02-13,560545,24984.0
2019-02-14,522778,-37767.0
2019-02-15,523296,518.0
2019-02-16,471411,-51885.0
2019-02-17,481327,9916.0
2019-02-18,536245,54918.0
2019-02-19,550050,13805.0
2019-02-20,519719,-30331.0
2019-02-21,518523,-1196.0
2019-02-22,538728,20205.0
2019-02-23,497462,-41266.0
2019-02-24,493537,-3925.0
2019-02-25,564150,70613.0
2019-02-26,562292,-1858.0
2019-02-27,559744,-2548.0
2019-02-28,572594,12850.0
2019-03-01,570914,-1680.0
2019-03-02,526128,-44786.0
2019-03-03,520895,-5233.0
2019-03-04,572985,52090.0
2019-03-05,574557,1572.0
2019-03-06,549198,-25359.0
2019-03-07,515734,-33464.0
2019-03-08,561901,46167.0
2019-03-09,521394,-40507.0
2019-03-10,486100,-35294.0
2019-03-11,563970,77870.0
2019-03-12,527485,-36485.0
2019-03-13,531317,3832.0
2019-03-14,551627,20310.0
2019-03-15,517957,-33670.0
2019-03-16,485059,-32898.0
2019-03-17,467459,-17600.0
2019-03-18,502916,35457.0
2019-03-19,490766,-12150.0
2019-03-20,493049,2283.0
2019-03-21,503946,10897.0
2019-03-22,516428,12482.0
2019-03-23,455488,-60940.0
2019-03-24,449552,-5936.0
2019-03-25,514729,65177.0
2019-03-26,489445,-25284.0
2019-03-27,492570,3125.0
2019-03-28,516164,23594.0
2019-03-29,501515,-14649.0
2019-03-30,456575,-44940.0
2019-03-31,455540,-1035.0
2019-04-01,471638,16098.0
2019-04-02,489150,17512.0
2019-04-03,491144,1994.0
2019-04-04,495276,4132.0
2019-04-05,514080,18804.0
2019-04-06,470127,-43953.0
2019-04-07,447400,-22727.0
2019-04-08,506400,59000.0
